VALUE,geometry,idx,lon,lat
541,POINT (46.98333000000001 9.533333333333333),7745,46.98333000000001,9.533333333333333
2179,POINT (46.99166333333334 9.533333333333333),7746,46.991663333333335,9.533333333333333
6797,POINT (46.99999666666668 9.533333333333333),7747,46.999996666666675,9.533333333333333
383,POINT (47.00833000000001 9.533333333333333),7748,47.00833000000001,9.533333333333333
383,POINT (47.01666333333334 9.533333333333333),7749,47.01666333333334,9.533333333333333
181,POINT (47.04166333333334 9.533333333333333),7750,47.04166333333334,9.533333333333333
10302,POINT (47.04999666666667 9.533333333333333),7751,47.04999666666667,9.533333333333333
141,POINT (47.05833000000001 9.533333333333333),7752,47.058330000000005,9.533333333333333
141,POINT (47.06666333333334 9.533333333333333),7753,47.06666333333334,9.533333333333333
25646,POINT (47.33333 9.533333333333333),7754,47.333330000000004,9.533333333333333
53341,POINT (47.34166333333334 9.533333333333333),7755,47.34166333333334,9.533333333333333
32712,POINT (47.36666333333334 9.533333333333333),7756,47.366663333333335,9.533333333333333
11353,POINT (47.38333000000001 9.533333333333333),7757,47.38333000000001,9.533333333333333
2203,POINT (43.63333000000001 9.525),7758,43.63333000000001,9.525
17710,POINT (43.64166333333334 9.525),7759,43.64166333333334,9.525
6726,POINT (44.05833000000001 9.525),7760,44.058330000000005,9.525
6726,POINT (44.06666333333334 9.525),7761,44.06666333333334,9.525
88859,POINT (44.07499666666667 9.525),7762,44.07499666666667,9.525
320196,POINT (44.08333 9.525),7763,44.083330000000004,9.525
78007,POINT (45.26666333333334 9.525),7764,45.26666333333334,9.525
78007,POINT (45.27499666666667 9.525),7765,45.274996666666674,9.525
6196,POINT (45.49166333333334 9.525),7766,45.491663333333335,9.525
64677,POINT (45.50833000000001 9.525),7767,45.50833000000001,9.525
64677,POINT (45.51666333333334 9.525),7768,45.51666333333334,9.525
7988311,POINT (45.52499666666667 9.525),7769,45.524996666666674,9.525
12798528,POINT (45.53333000000001 9.525),7770,45.53333000000001,9.525
9674924,POINT (45.54166333333334 9.525),7771,45.54166333333334,9.525
776514,POINT (45.54999666666667 9.525),7772,45.54999666666667,9.525
18288,POINT (45.55833000000001 9.525),7773,45.558330000000005,9.525
18288,POINT (45.56666333333334 9.525),7774,45.56666333333334,9.525
27573,POINT (46.74166333333334 9.525),7775,46.741663333333335,9.525
3232,POINT (46.89166333333334 9.525),7776,46.89166333333334,9.525
34782,POINT (46.99166333333334 9.525),7777,46.991663333333335,9.525
57614,POINT (46.99999666666668 9.525),7778,46.999996666666675,9.525
5719,POINT (47.00833000000001 9.525),7779,47.00833000000001,9.525
987,POINT (47.05833000000001 9.525),7780,47.058330000000005,9.525
987,POINT (47.06666333333334 9.525),7781,47.06666333333334,9.525
304821,POINT (47.34999666666667 9.525),7782,47.34999666666667,9.525
304821,POINT (47.35833000000001 9.525),7783,47.35833000000001,9.525
1829,POINT (47.37499666666668 9.525),7784,47.374996666666675,9.525
2368,POINT (47.38333000000001 9.525),7785,47.38333000000001,9.525
34194,POINT (44.05833000000001 9.516666666666667),7786,44.058330000000005,9.516666666666667
34194,POINT (44.06666333333334 9.516666666666667),7787,44.06666333333334,9.516666666666667
645290,POINT (44.07499666666667 9.516666666666667),7788,44.07499666666667,9.516666666666667
1954,POINT (45.49166333333334 9.516666666666667),7789,45.491663333333335,9.516666666666667
24302,POINT (45.50833000000001 9.516666666666667),7790,45.50833000000001,9.516666666666667
694429,POINT (45.51666333333334 9.516666666666667),7791,45.51666333333334,9.516666666666667
694429,POINT (45.52499666666667 9.516666666666667),7792,45.524996666666674,9.516666666666667
8442241,POINT (45.53333000000001 9.516666666666667),7793,45.53333000000001,9.516666666666667
10133403,POINT (45.54166333333334 9.516666666666667),7794,45.54166333333334,9.516666666666667
2280925,POINT (45.54999666666667 9.516666666666667),7795,45.54999666666667,9.516666666666667
22786,POINT (45.55833000000001 9.516666666666667),7796,45.558330000000005,9.516666666666667
22786,POINT (45.56666333333334 9.516666666666667),7797,45.56666333333334,9.516666666666667
21156,POINT (46.62499666666668 9.516666666666667),7798,46.624996666666675,9.516666666666667
21156,POINT (46.63333000000001 9.516666666666667),7799,46.63333000000001,9.516666666666667
15344,POINT (46.64166333333334 9.516666666666667),7800,46.64166333333334,9.516666666666667
10992,POINT (46.64999666666667 9.516666666666667),7801,46.649996666666674,9.516666666666667
3919,POINT (46.74166333333334 9.516666666666667),7802,46.741663333333335,9.516666666666667
4309,POINT (46.76666333333334 9.516666666666667),7803,46.76666333333334,9.516666666666667
35689,POINT (47.34999666666667 9.516666666666667),7804,47.34999666666667,9.516666666666667
277379,POINT (47.37499666666668 9.516666666666667),7805,47.374996666666675,9.516666666666667
23232,POINT (47.38333000000001 9.516666666666667),7806,47.38333000000001,9.516666666666667
1579,POINT (47.39999666666667 9.516666666666667),7807,47.399996666666674,9.516666666666667
1579,POINT (47.40833000000001 9.516666666666667),7808,47.40833000000001,9.516666666666667
10326,POINT (44.07499666666667 9.508333333333333),7809,44.07499666666667,9.508333333333333
160767,POINT (45.53333000000001 9.508333333333333),7810,45.53333000000001,9.508333333333333
661287,POINT (45.54166333333334 9.508333333333333),7811,45.54166333333334,9.508333333333333
771766,POINT (45.54999666666667 9.508333333333333),7812,45.54999666666667,9.508333333333333
21269,POINT (46.62499666666668 9.508333333333333),7813,46.624996666666675,9.508333333333333
229578,POINT (46.63333000000001 9.508333333333333),7814,46.63333000000001,9.508333333333333
229578,POINT (46.64166333333334 9.508333333333333),7815,46.64166333333334,9.508333333333333
119479,POINT (46.64999666666667 9.508333333333333),7816,46.649996666666674,9.508333333333333
370,POINT (46.74166333333334 9.508333333333333),7817,46.741663333333335,9.508333333333333
700,POINT (46.84999666666667 9.508333333333333),7818,46.84999666666667,9.508333333333333
698,POINT (46.85833000000001 9.508333333333333),7819,46.85833000000001,9.508333333333333
25804,POINT (46.89999666666667 9.508333333333333),7820,46.899996666666674,9.508333333333333
13273,POINT (47.29999666666667 9.508333333333333),7821,47.29999666666667,9.508333333333333
202169,POINT (47.32499666666667 9.508333333333333),7822,47.32499666666667,9.508333333333333
491,POINT (47.34999666666667 9.508333333333333),7823,47.34999666666667,9.508333333333333
10420,POINT (47.35833000000001 9.508333333333333),7824,47.35833000000001,9.508333333333333
10420,POINT (47.36666333333334 9.508333333333333),7825,47.366663333333335,9.508333333333333
243694,POINT (47.37499666666668 9.508333333333333),7826,47.374996666666675,9.508333333333333
34426,POINT (47.38333000000001 9.508333333333333),7827,47.38333000000001,9.508333333333333
1168,POINT (46.63333000000001 9.5),7828,46.63333000000001,9.5
1168,POINT (46.64166333333334 9.5),7829,46.64166333333334,9.5
2774,POINT (46.64999666666667 9.5),7830,46.649996666666674,9.5
159,POINT (46.72499666666667 9.5),7831,46.72499666666667,9.5
12971,POINT (46.73333000000001 9.5),7832,46.73333000000001,9.5
12971,POINT (46.74166333333334 9.5),7833,46.741663333333335,9.5
4944,POINT (46.84999666666667 9.5),7834,46.84999666666667,9.5
93152,POINT (46.85833000000001 9.5),7835,46.85833000000001,9.5
13255,POINT (46.86666333333334 9.5),7836,46.866663333333335,9.5
27163,POINT (46.89999666666667 9.5),7837,46.899996666666674,9.5
3310,POINT (46.95833 9.5),7838,46.958330000000004,9.5
5852,POINT (46.96666333333334 9.5),7839,46.96666333333334,9.5
11910,POINT (47.01666333333334 9.5),7840,47.01666333333334,9.5
8398,POINT (47.31666333333334 9.5),7841,47.31666333333334,9.5
8398,POINT (47.32499666666667 9.5),7842,47.32499666666667,9.5
25433,POINT (47.33333 9.5),7843,47.333330000000004,9.5
2687,POINT (47.34166333333334 9.5),7844,47.34166333333334,9.5
371,POINT (47.34999666666667 9.5),7845,47.34999666666667,9.5
672,POINT (47.35833000000001 9.5),7846,47.35833000000001,9.5
672,POINT (47.36666333333334 9.5),7847,47.366663333333335,9.5
1744,POINT (47.37499666666668 9.5),7848,47.374996666666675,9.5
26859,POINT (47.98333000000001 9.5),7849,47.98333000000001,9.5
7713,POINT (47.99166333333334 9.5),7850,47.991663333333335,9.5
7713,POINT (47.99999666666668 9.5),7851,47.999996666666675,9.5
14379,POINT (45.59999666666667 9.491666666666667),7852,45.59999666666667,9.491666666666667
16366,POINT (46.61666333333334 9.491666666666667),7853,46.616663333333335,9.491666666666667
40243,POINT (46.62499666666668 9.491666666666667),7854,46.624996666666675,9.491666666666667
13597,POINT (46.73333000000001 9.491666666666667),7855,46.73333000000001,9.491666666666667
13597,POINT (46.74166333333334 9.491666666666667),7856,46.741663333333335,9.491666666666667
14805,POINT (46.85833000000001 9.491666666666667),7857,46.85833000000001,9.491666666666667
4559,POINT (46.86666333333334 9.491666666666667),7858,46.866663333333335,9.491666666666667
1207,POINT (46.95833 9.491666666666667),7859,46.958330000000004,9.491666666666667
316,POINT (47.01666333333334 9.491666666666667),7860,47.01666333333334,9.491666666666667
961,POINT (47.05833000000001 9.491666666666667),7861,47.058330000000005,9.491666666666667
219456,POINT (45.54999666666667 9.483333333333334),7862,45.54999666666667,9.483333333333334
3333,POINT (46.60833 9.483333333333334),7863,46.60833,9.483333333333334
769454,POINT (46.61666333333334 9.483333333333334),7864,46.616663333333335,9.483333333333334
704532,POINT (46.62499666666668 9.483333333333334),7865,46.624996666666675,9.483333333333334
1910,POINT (46.73333000000001 9.483333333333334),7866,46.73333000000001,9.483333333333334
57789,POINT (46.94999666666667 9.483333333333334),7867,46.94999666666667,9.483333333333334
58638,POINT (46.95833 9.483333333333334),7868,46.958330000000004,9.483333333333334
12409,POINT (47.05833000000001 9.483333333333334),7869,47.058330000000005,9.483333333333334
6887,POINT (47.06666333333334 9.483333333333334),7870,47.06666333333334,9.483333333333334
2720,POINT (47.31666333333334 9.483333333333334),7871,47.31666333333334,9.483333333333334
2720,POINT (47.32499666666667 9.483333333333334),7872,47.32499666666667,9.483333333333334
275425,POINT (46.61666333333334 9.475000000000001),7873,46.616663333333335,9.475000000000001
1262701,POINT (46.62499666666668 9.475000000000001),7874,46.624996666666675,9.475000000000001
46,POINT (46.95833 9.475000000000001),7875,46.958330000000004,9.475000000000001
87,POINT (47.04999666666667 9.475000000000001),7876,47.04999666666667,9.475000000000001
82,POINT (47.06666333333334 9.475000000000001),7877,47.06666333333334,9.475000000000001
5693,POINT (47.32499666666667 9.475000000000001),7878,47.32499666666667,9.475000000000001
5693,POINT (47.33333 9.475000000000001),7879,47.333330000000004,9.475000000000001
40713,POINT (47.44999666666667 9.475000000000001),7880,47.44999666666667,9.475000000000001
385657,POINT (47.45833 9.475000000000001),7881,47.458330000000004,9.475000000000001
795,POINT (46.54166333333334 9.466666666666667),7882,46.54166333333334,9.466666666666667
105,POINT (46.54999666666667 9.466666666666667),7883,46.54999666666667,9.466666666666667
105,POINT (46.55833000000001 9.466666666666667),7884,46.558330000000005,9.466666666666667
6628,POINT (46.62499666666668 9.466666666666667),7885,46.624996666666675,9.466666666666667
303,POINT (46.83333 9.466666666666667),7886,46.833330000000004,9.466666666666667
34,POINT (47.04999666666667 9.466666666666667),7887,47.04999666666667,9.466666666666667
2245,POINT (47.05833000000001 9.466666666666667),7888,47.058330000000005,9.466666666666667
62560,POINT (47.06666333333334 9.466666666666667),7889,47.06666333333334,9.466666666666667
690100,POINT (47.44999666666667 9.466666666666667),7890,47.44999666666667,9.466666666666667
1004154,POINT (47.45833 9.466666666666667),7891,47.458330000000004,9.466666666666667
4033,POINT (47.60833000000001 9.466666666666667),7892,47.60833000000001,9.466666666666667
637,POINT (46.94166333333334 9.458333333333334),7893,46.94166333333334,9.458333333333334
637,POINT (46.94999666666667 9.458333333333334),7894,46.94999666666667,9.458333333333334
899,POINT (47.06666333333334 9.458333333333334),7895,47.06666333333334,9.458333333333334
22547,POINT (47.37499666666668 9.458333333333334),7896,47.374996666666675,9.458333333333334
279604,POINT (47.44999666666667 9.458333333333334),7897,47.44999666666667,9.458333333333334
259182,POINT (47.45833 9.458333333333334),7898,47.458330000000004,9.458333333333334
2358,POINT (47.60833000000001 9.458333333333334),7899,47.60833000000001,9.458333333333334
174,POINT (46.94166333333334 9.450000000000001),7900,46.94166333333334,9.450000000000001
151,POINT (46.94999666666667 9.450000000000001),7901,46.94999666666667,9.450000000000001
151,POINT (46.95833 9.450000000000001),7902,46.958330000000004,9.450000000000001
172232,POINT (47.45833 9.450000000000001),7903,47.458330000000004,9.450000000000001
463,POINT (47.60833000000001 9.450000000000001),7904,47.60833000000001,9.450000000000001
428658,POINT (45.66666333333334 9.441666666666666),7905,45.66666333333334,9.441666666666666
303885,POINT (45.67499666666667 9.441666666666666),7906,45.67499666666667,9.441666666666666
18509,POINT (45.68333000000001 9.441666666666666),7907,45.683330000000005,9.441666666666666
2961,POINT (46.79166333333334 9.441666666666666),7908,46.79166333333334,9.441666666666666
19971,POINT (46.79999666666667 9.441666666666666),7909,46.79999666666667,9.441666666666666
12910,POINT (45.66666333333334 9.433333333333334),7910,45.66666333333334,9.433333333333334
657393,POINT (45.67499666666667 9.433333333333334),7911,45.67499666666667,9.433333333333334
63380,POINT (45.68333000000001 9.433333333333334),7912,45.683330000000005,9.433333333333334
112784,POINT (46.79166333333334 9.433333333333334),7913,46.79166333333334,9.433333333333334
185187,POINT (46.79999666666667 9.433333333333334),7914,46.79999666666667,9.433333333333334
19798,POINT (45.68333000000001 9.425000000000001),7915,45.683330000000005,9.425
12183,POINT (46.79166333333334 9.425000000000001),7916,46.79166333333334,9.425
138139,POINT (45.04999666666667 9.416666666666668),7917,45.04999666666667,9.416666666666668
5665146,POINT (45.05833000000001 9.416666666666668),7918,45.058330000000005,9.416666666666668
110770,POINT (46.78333000000001 9.416666666666668),7919,46.78333000000001,9.416666666666668
9893,POINT (46.79999666666667 9.416666666666668),7920,46.79999666666667,9.416666666666668
70845,POINT (43.54166333333334 9.408333333333333),7921,43.54166333333334,9.408333333333333
41196,POINT (45.05833000000001 9.408333333333333),7922,45.058330000000005,9.408333333333333
39159,POINT (45.97499666666667 9.408333333333333),7923,45.97499666666667,9.408333333333333
603,POINT (47.52499666666667 9.408333333333333),7924,47.524996666666674,9.408333333333333
3576090,POINT (43.50833000000001 9.4),7925,43.50833000000001,9.4
